,Waktu,Temp1,Temp2,Humid 1,Humid 2,Baterai,Temp outdoor,Humidity outdoor
7359,2025-11-17 16:40:06+07:00,,,,,,25.1,96.9
7360,2025-11-17 16:40:22+07:00,,,,,,25.1,97.1
7361,2025-11-17 16:40:38+07:00,,,,,,25.1,97.0
7362,2025-11-17 16:40:54+07:00,,,,,,25.1,97.0
7363,2025-11-17 16:41:10+07:00,,,,,,25.1,97.1
7364,2025-11-17 16:41:26+07:00,,,,,,25.0,97.0
7365,2025-11-17 16:41:42+07:00,,,,,,25.1,97.1
7366,2025-11-17 16:41:58+07:00,,,,,,25.0,97.1
7367,2025-11-17 16:42:14+07:00,,,,,,25.0,97.2
7368,2025-11-17 16:42:30+07:00,,,,,,25.0,97.3
7369,2025-11-17 16:42:47+07:00,,,,,,25.0,97.4
7370,2025-11-17 16:43:03+07:00,,,,,,25.0,97.4
7371,2025-11-17 16:43:19+07:00,,,,,,25.0,97.4
7372,2025-11-17 16:43:34+07:00,,,,,,25.0,97.5
7373,2025-11-17 16:43:50+07:00,,,,,,25.0,97.4
7374,2025-11-17 16:44:06+07:00,,,,,,25.0,97.4
7375,2025-11-17 16:44:22+07:00,,,,,,25.0,97.4
7376,2025-11-17 16:44:38+07:00,,,,,,25.0,97.5
7377,2025-11-17 16:44:54+07:00,,,,,,25.0,97.5
7378,2025-11-17 16:45:10+07:00,,,,,,25.0,97.6
7379,2025-11-17 16:45:26+07:00,,,,,,25.0,97.6
7380,2025-11-17 16:45:42+07:00,,,,,,25.0,97.6
7381,2025-11-17 16:45:58+07:00,,,,,,25.0,97.6
7382,2025-11-17 16:46:14+07:00,,,,,,25.0,97.7
7383,2025-11-17 16:46:30+07:00,,,,,,25.0,97.7
7384,2025-11-17 16:46:47+07:00,,,,,,25.0,97.8
7385,2025-11-17 16:47:03+07:00,,,,,,25.0,97.8
7386,2025-11-17 16:47:19+07:00,,,,,,25.0,97.8
7387,2025-11-17 16:47:35+07:00,,,,,,25.0,97.7
7388,2025-11-17 16:47:51+07:00,,,,,,24.9,97.8
7389,2025-11-17 16:48:07+07:00,,,,,,25.0,97.5
7390,2025-11-17 16:48:23+07:00,,,,,,24.9,97.3
7391,2025-11-17 16:48:39+07:00,,,,,,24.9,97.5
7392,2025-11-17 16:48:55+07:00,,,,,,24.9,97.7
7393,2025-11-17 16:49:11+07:00,,,,,,24.9,97.7
7394,2025-11-17 16:49:27+07:00,,,,,,24.9,97.8
7395,2025-11-17 16:49:43+07:00,,,,,,24.9,97.9
7396,2025-11-17 16:49:59+07:00,,,,,,24.9,97.7
7397,2025-11-17 16:50:15+07:00,,,,,,24.9,97.2
7398,2025-11-17 16:50:31+07:00,,,,,,24.9,96.8
7399,2025-11-17 16:50:47+07:00,,,,,,24.9,97.1
7400,2025-11-17 16:51:03+07:00,,,,,,24.8,97.4
7401,2025-11-17 16:51:19+07:00,,,,,,24.9,97.5
7402,2025-11-17 16:51:35+07:00,,,,,,24.9,97.6
7403,2025-11-17 16:51:51+07:00,,,,,,24.8,97.0
7404,2025-11-17 16:52:07+07:00,,,,,,24.9,97.0
7405,2025-11-17 16:52:23+07:00,,,,,,24.8,97.2
7406,2025-11-17 16:52:39+07:00,,,,,,24.8,97.3
7407,2025-11-17 16:52:55+07:00,,,,,,24.8,97.3
7408,2025-11-17 16:53:11+07:00,,,,,,24.8,97.1
7409,2025-11-17 16:53:27+07:00,,,,,,24.8,97.2
7410,2025-11-17 16:53:43+07:00,,,,,,24.8,97.0
7411,2025-11-17 16:53:59+07:00,,,,,,24.8,97.1
7412,2025-11-17 16:54:15+07:00,,,,,,24.8,97.5
7413,2025-11-17 16:54:31+07:00,,,,,,24.8,97.6
7414,2025-11-17 16:54:47+07:00,,,,,,24.8,97.7
7415,2025-11-17 16:55:03+07:00,,,,,,24.8,97.7
7416,2025-11-17 16:55:20+07:00,,,,,,24.8,97.3
